mdi_i,year,month,day,hour,minute,second,intf_n,intfc_n,unsflux_n,sflux_n,posflux_n,negflux_n,vnpc_pxn,visarea_n,max_pxflux_n,max_pxf_n,max_pxfc_n,n_swt,intf_s,intfc_s,unsflux_s,sflux_s,posflux_s,negflux_s,vnpc_pxs,visarea_s,max_pxflux_s,max_pxf_s,max_pxfc_s,s_swt
2483,1976,10,18,17,55,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2526,1976,11,30,18,27,56,-1.97034,-6.38832,1.68E+22,-3.21E+21,6.78E+21,-9.99E+21,29661,4.66E+20,6.00E+18,96.1403,252.279,0,-2.89054,-8.92054,1.23E+22,-3.26E+21,4.55E+21,-7.80E+21,22524,3.66E+20,4.53E+18,58.1342,225.417,0
2528,1976,12,2,16,44,38,0.141092,0.14084,1.17E+22,-8.92E+19,5.80E+21,-5.89E+21,30545,4.87E+20,3.24E+18,60.9191,160.648,0,-3.04049,-9.5168,1.08E+22,-3.97E+21,3.43E+21,-7.40E+21,25535,4.17E+20,3.41E+18,40.4657,163.682,0
2529,1976,12,3,17,27,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2530,1976,12,4,17,35,2,0.766689,3.57835,1.13E+22,1.54E+21,6.40E+21,-4.86E+21,31149,4.69E+20,9.21E+18,116.309,374.641,0,-2.41259,-6.3402,9.57E+21,-2.80E+21,3.39E+21,-6.19E+21,29269,4.39E+20,4.44E+18,168.838,219.59,0
2531,1976,12,5,21,16,5,3.10401,10.0556,1.51E+22,6.00E+21,1.06E+22,-4.56E+21,36180,6.06E+20,5.83E+18,105.017,261.947,0,-4.08258,-11.5679,1.49E+22,-6.96E+21,3.97E+21,-1.09E+22,36994,5.90E+20,5.66E+18,178.345,195.181,0
2532,1976,12,6,15,48,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2533,1976,12,7,16,46,18,2.70581,8.33986,7.50E+21,3.02E+21,5.26E+21,-2.24E+21,24829,3.75E+20,3.88E+18,122.747,133.616,0,-2.33148,-5.87378,7.39E+21,-2.10E+21,2.65E+21,-4.74E+21,25369,3.82E+20,3.88E+18,63.5536,218.482,0
2534,1976,12,8,19,27,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2535,1976,12,9,18,48,45,2.28842,7.4758,2.00E+22,4.46E+21,1.23E+22,-7.79E+21,34914,6.25E+20,7.38E+18,69.5618,241.615,0,-6.30965,-19.1114,5.31E+22,-9.99E+21,2.16E+22,-3.16E+22,32323,5.54E+20,3.56E+19,439.636,1223.62,0
